abv,ibu,id,name,style,brewery_id,ounces
5,12,547,La Perouse White,Witbier,375,12
5.2,12,2622,Damascene Apricot Sour,Fruit / Vegetable Beer,17,16
3.2,13,2231,American Light,Light Lager,129,12
4,13,2680,Sho'nuff,Belgian Pale Ale,1,16
4.2,13,398,Wild Onion Summer Wit,Witbier,361,12
4.8,13,1354,541 American Lager,American Pale Lager,198,12
5.5,13,1113,Elder Betty,Hefeweizen,303,12
5.7,13,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12
5.7,13,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12
5.7,13,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12
4.3,14,1015,Hangar 24 Helles Lager,Munich Helles Lager,476,12
4.7,14,1052,Honey Wheat,American Pale Wheat Ale,326,12
5,14,2196,Couch Select Lager,American Pale Lager,197,12
6,14,1355,Schuylkill Punch,Fruit / Vegetable Beer,356,12
2.8,15,2306,Summer Brew,American Pilsner,109,12
4.8,15,2672,Leisure Time,American Pale Lager,2,12
4.8,15,1146,Brunette Nut Brown Ale,English Brown Ale,337,12
4.8,15,2632,Gold,American Blonde Ale,13,12
4.8,15,466,Top Rope Mexican-style Craft Lager,Vienna Lager,51,12
4.9,15,2076,Boathouse Blonde,American Blonde Ale,228,12
5,15,921,Northern Lights Amber Ale,American Amber / Red Ale,493,12
5,15,2060,Weize Guy,Hefeweizen,233,12
5.2,15,685,Lava Lake Wit,Witbier,63,12
5.2,15,467,Joseph James American Lager,American Adjunct Lager,233,12
5.5,15,313,Mana Wheat,American Pale Wheat Ale,375,12
5.5,15,314,Narragansett Fest Lager,Märzen / Oktoberfest,143,16
5.8,15,1326,Boont Amber Ale,American Amber / Red Ale,171,12
5.8,15,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12
5.8,15,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12
5.8,15,1297,Estival Cream Stout,American Stout,264,12
4.1,16,588,Schlafly Hefeweizen,Hefeweizen,428,12
4.2,16,2479,Jammer,Gose,46,12
4.4,16,667,Blue Point Summer Ale,American Blonde Ale,489,12
5,16,1885,Gutch English Style Mild Ale,English Pale Mild Ale,283,12
5,16,2087,Blood Orange Wit,Witbier,225,16
5,16,105,Köld Lager (2010),German Pilsener,45,16
5,16,576,White Thai,Witbier,384,12
5.2,16,1748,Bronx Summer Pale Ale,American Pale Ale (APA),329,16
4,17,1212,SUM'R,American Blonde Ale,159,12
4.5,17,53,Schlafly Summer Lager,Munich Helles Lager,428,12
4.6,17,1016,Orange Wheat,Fruit / Vegetable Beer,476,12
4.7,17,1407,Tybee Island Blonde,American Blonde Ale,415,12
4.9,17,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
4.9,17,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
4.9,17,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12
4.9,17,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12
5,17,2144,Robert Earl Keen Honey Pils,American Pilsner,187,12
5.1,17,880,Apricot Blonde,Fruit / Vegetable Beer,496,12
5.1,17,2384,Laka Laka Pineapple,Hefeweizen,120,12
5.1,17,1284,Dog Days Lager,Dortmunder / Export Lager,74,12
5.1,17,1030,Country Pale Ale,English Pale Ale,295,12
5.2,17,920,Polar Pale Ale,American Pale Ale (APA),493,12
5.2,17,2309,Sunbru Kölsch,Kölsch,160,12
5.5,17,2679,Bloody Show,American Pilsner,1,16
5.5,17,106,Ellie’s Brown Ale,American Brown Ale,37,12
6.2,17,390,Whitsun,American Pale Wheat Ale,541,12
8.1,17,2104,Aprè Shred,American Strong Ale,220,16
4.2,18,2201,312 Urban Wheat Ale,American Pale Wheat Ale,88,16
4.2,18,1829,312 Urban Wheat Ale,American Pale Wheat Ale,88,12
4.2,18,386,Mexican Logger,American Pale Lager,264,12
4.4,18,1331,Hardywood Cream Ale,Cream Ale,343,12
4.5,18,2544,Send Help,American Blonde Ale,60,12
4.5,18,457,Dundee Summer Wheat Beer,American Pale Wheat Ale,538,12
4.5,18,33,Bikini Blonde Lager,Munich Helles Lager,375,12
4.5,18,1335,Float Trip Ale,American Blonde Ale,314,16
4.5,18,846,Black Walnut Wheat,American Dark Wheat Ale,314,16
4.5,18,529,Tin Roof Blonde Ale,American Blonde Ale,152,12
4.6,18,1274,Longboard Island Lager,American Amber / Red Lager,439,24
4.6,18,1220,Longboard Island Lager,American Amber / Red Lager,439,16
4.6,18,1070,Longboard Island Lager,American Amber / Red Lager,439,12
4.6,18,590,Longboard Island Lager,American Amber / Red Lager,439,12
4.8,18,172,Flaming Damsel Lager (2010),Vienna Lager,284,16
4.8,18,2347,Hunny Do Wheat,American Pale Wheat Ale,142,12
5,18,1050,The Lawn Ranger,Cream Ale,29,16
5,18,2111,What the Butler Saw,Witbier,217,12
5,18,1484,Summer Paradise,American Pale Wheat Ale,356,12
5.2,18,2673,House Lager,Keller Bier / Zwickel Bier,2,16
5.2,18,399,Pyramid Hefeweizen (2011),Hefeweizen,544,12
5.2,18,82,Haywire Hefeweizen (2010),Hefeweizen,544,16
5.3,18,1920,Alaskan Amber,Altbier,270,12
5.5,18,1208,Twisted Helles Summer Lager,Munich Helles Lager,253,12
5.6,18,1756,When Helles Freezes Over,Munich Helles Lager,326,12
5.9,18,1238,Wild Night,Cream Ale,447,12
7,18,1972,LuckenBock,Bock,257,16
4.5,19,1435,Stone's Throw IPA,Scottish Ale,335,12
4.8,19,2690,Wall's End,English Brown Ale,0,16
5,19,622,Blacktop Blonde,American Blonde Ale,449,24
5,19,362,Blacktop Blonde,American Blonde Ale,449,12
5.1,19,2212,Twisted X,American Adjunct Lager,38,12
5.2,19,1383,Beaver Logger,American Pale Lager,420,12
3.9,20,2400,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2399,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2398,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2397,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2396,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2395,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2394,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2393,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2392,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2391,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2390,Nonstop Hef Hop,American Pale Wheat Ale,80,16
3.9,20,2389,Nonstop Hef Hop,American Pale Wheat Ale,80,16
4.2,20,581,312 Urban Wheat Ale (2012),American Pale Wheat Ale,88,12
4.2,20,1544,Starr Pils,German Pilsener,383,12
4.5,20,1644,Banner American Rye,Rye Beer,318,12
4.5,20,559,Jon Boat Coastal Ale,American Blonde Ale,527,12
4.6,20,1394,Old Forge Pumpkin Ale,Pumpkin Ale,301,16
4.7,20,1733,805,American Blonde Ale,48,12
4.8,20,1968,FMB 101,Kölsch,36,12
4.8,20,2555,Ginger Peach Saison,Saison / Farmhouse Ale,45,16
4.9,20,2195,Double D Blonde,American Blonde Ale,198,12
4.9,20,1390,Double D Blonde (2013),American Blonde Ale,198,12
4.9,20,498,Double D Blonde (2011),American Blonde Ale,198,12
5,20,2674,The Brown Note,English Brown Ale,1,16
5,20,1454,Parcae Belgian Style Pale Ale,Belgian Pale Ale,405,16
5,20,1453,Norns Roggenbier,Roggenbier,405,16
5,20,1452,Laimas Kölsch Style Ale,Kölsch,405,16
5,20,856,Bombshell Blonde,American Blonde Ale,118,16
5,20,44,Bombshell Blonde,American Blonde Ale,118,12
5,20,1063,Vanilla Bean Buffalo Sweat,Oatmeal Stout,45,16
5,20,765,Buffalo Sweat,Milk / Sweet Stout,45,16
5,20,676,Halcyon Unfiltered Wheat,American Pale Wheat Ale,45,16
5,20,412,Halcyon Unfiltered Wheat,American Pale Wheat Ale,45,12
5,20,102,Buffalo Sweat (2010),Milk / Sweet Stout,45,16
5.1,20,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12
5.1,20,1813,#9,Fruit / Vegetable Beer,303,16
5.1,20,360,#9,Fruit / Vegetable Beer,303,12
5.1,20,1578,Lahaina Town Brown,American Brown Ale,375,12
5.2,20,1872,Local Buzz,American Blonde Ale,287,12
5.2,20,1687,Schweet Ale,Fruit / Vegetable Beer,298,12
5.2,20,908,Pumpkan,Pumpkin Ale,295,12
5.3,20,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12
5.3,20,1153,Lumberyard Pilsner,American Pilsner,158,12
5.3,20,1768,Stone Fort Brown Ale,English Brown Ale,183,16
5.4,20,519,SoDo Brown Ale,American Brown Ale,190,12
5.4,20,2223,Ermal's,Cream Ale,94,16
5.5,20,521,McKinney Eddy Amber Ale,American Amber / Red Ale,314,16
5.6,20,1196,Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,45,16
5.7,20,1318,Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,181,12
5.8,20,2623,Cafe Leche,American Porter,17,16
6,20,1791,Hot Date Ale,Chile Beer,314,16
6.5,20,932,Booyah Farmhouse Ale,Saison / Farmhouse Ale,284,16
6.9,20,1403,Horny Monk,Dubbel,11,16
2.7,21,2482,Totally Radler,Radler,80,16
3.7,21,1236,Pace Setter Belgian Style Wit,Witbier,448,12
4.3,21,2129,Monarch Classic American Wheat,American Pale Wheat Ale,213,12
4.5,21,1625,Belgian Style Session Ale,Belgian Pale Ale,356,12
4.9,21,2127,Sir William's English Brown Ale,English Brown Ale,213,12
5,21,1800,Rollin Dirty Red Ale,Irish Red Ale,308,12
5,21,1428,Tin Roof Watermelon Wheat,Fruit / Vegetable Beer,152,12
5.1,21,1718,Firemans #4 Blonde Ale (2013),American Blonde Ale,128,12
5.1,21,830,Firemans #4 Blonde Ale (2015),American Blonde Ale,128,12
6,21,1635,Kilt Lifter Scottish-Style Ale,NA,160,12
6,21,179,Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,160,12
6.6,21,2681,Flesh Gourd'n,Pumpkin Ale,1,16
6.8,21,2253,Blonde Hunny,Belgian Pale Ale,181,12
4,22,2100,Yard Sale Winter Lager,American Amber / Red Lager,159,12
4.2,22,2184,Humpback Blonde Ale,American Blonde Ale,203,12
4.4,22,824,Tonganoxie Honey Wheat,American Pale Wheat Ale,500,12
4.4,22,103,Tallgrass Ale,American Brown Ale,45,16
4.8,22,444,Upslope Craft Lager,Vienna Lager,51,12
5,22,2055,Killer Kolsch,Kölsch,236,12
5,22,1662,Wet Hot American Wheat Ale,American Pale Wheat Ale,256,16
5,22,580,Narragansett Cream Ale,Cream Ale,143,16
5,22,1969,Kol' Beer,Kölsch,257,16
5,22,855,Special Amber,Vienna Lager,498,12
5,22,445,Special Amber,Vienna Lager,498,12
5.1,22,950,Rivet Irish Red Ale,Irish Red Ale,17,16
5.3,22,1913,Hydraulion Red,Irish Red Ale,273,12
5.9,22,2255,Santa's Secret,Winter Warmer,179,16
6.5,22,1691,Stir Crazy Winter Ale,Winter Warmer,277,12
7,22,316,Narragansett Porter,American Porter,143,16
7.5,22,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16
4.5,23,1469,Tiny Bomb,American Pilsner,239,12
4.9,23,2604,Blonde Czich,American Blonde Ale,26,16
5.2,23,1401,Ballast Point Pale Ale,Kölsch,34,12
5.2,23,681,Summertime Ale,Kölsch,472,16
5.2,23,2177,Volcano Red Ale,American Amber / Red Ale,203,12
6,23,366,Jack Stout,Oatmeal Stout,361,12
6.9,23,1740,Le Mort Vivant,Bière de Garde,118,12
6.9,23,555,Le Mort Vivant (2011),Bière de Garde,118,12
7.7,23,1042,Atom Smasher,Märzen / Oktoberfest,74,12
7.9,23,1769,White Magick of the Sun,Witbier,322,12
4.2,24,1093,Narragansett Summer Ale,American Pale Wheat Ale,143,12
4.2,24,403,Narragansett Summer Ale,American Pale Wheat Ale,143,16
4.5,24,1839,Chin Music Amber Lager,American Amber / Red Lager,122,12
4.6,24,1051,Black Bear Dark Lager,Schwarzbier,326,12
4.9,24,1617,Morgan Street Oktoberfest,Märzen / Oktoberfest,326,12
5,24,586,Kodiak Brown Ale,American Brown Ale,223,12
5.1,24,1272,Louie's Demise Amber Ale,American Amber / Red Ale,284,16
5.1,24,171,Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,284,16
5.4,24,1669,Oakshire Amber Ale,American Amber / Red Ale,150,12
6,24,690,Sobrehumano Palena'ole,American Amber / Red Ale,375,12
6,24,2666,Jucundus,Wheat Ale,3,16
6,24,1491,Sweet Potato Ale,Fruit / Vegetable Beer,314,16
6.8,24,2563,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,51,19.2
7,24,1260,Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,433,12
7.5,24,2162,Lewbricator Wheat Dopplebock,Doppelbock,208,12
4.2,25,1835,Provision,Saison / Farmhouse Ale,297,12
4.5,25,1195,Wild Wolf American Pilsner,American Pilsner,181,12
4.5,25,1514,Easy Day Kolsch,Kölsch,199,12
4.6,25,2211,White (2015),Witbier,128,12
4.7,25,2367,Humbucker Helles,Maibock / Helles Bock,126,16
4.9,25,2293,Aviator Raspberry Blonde,American Blonde Ale,169,12
4.9,25,673,Dottie Seattle Lager,American Amber / Red Lager,516,16
5,25,2682,Rules are Rules,German Pilsener,1,16
5.1,25,1410,Sand Island Lighthouse,Kölsch,412,12
5.2,25,356,Crazy Mountain Amber Ale,American Amber / Red Ale,63,12
5.5,25,1217,El Steinber Dark Lager,Vienna Lager,171,16
5.5,25,847,Old Tom Porter,American Porter,314,16
5.9,25,1404,North 45 Amber Ale,American Amber / Red Ale,11,16
6,25,2688,Stronghold,American Porter,0,16
7.5,25,2355,Old Soul,Belgian Strong Pale Ale,63,12
7.7,25,2684,35 K,Milk / Sweet Stout,1,16
8.2,25,2247,Lake Monster,Baltic Porter,184,16
9.2,25,1770,Voodoo Love Child,Tripel,322,12
9.2,25,1729,Gran Met,Belgian Strong Pale Ale,322,12
4.9,26,2691,Maggie's Leap,Milk / Sweet Stout,0,16
5,26,2075,Cedar Point,American Amber / Red Ale,228,12
5.1,26,1711,Moose Drool Brown Ale,American Brown Ale,336,12
5.1,26,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12
5.1,26,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12
5.2,26,1201,Striped Bass Pale Ale,American Pale Ale (APA),237,12
5.3,26,429,Ninja Porter,American Porter,528,12
5.4,26,2588,Cow Creek,American Amber / Red Lager,38,12
5.6,26,1613,Gyptoberfest,Märzen / Oktoberfest,107,12
3.2,27,550,Rocket Girl,Kölsch,528,12
4.6,27,1115,Shenanigans Summer Ale,American Pale Wheat Ale,277,12
4.9,27,2071,London Homesick Ale,English Bitter,184,12
5.2,27,2178,Hawaiian Crow Porter,American Porter,203,12
5.2,27,1660,Immersion Amber,American Amber / Red Ale,190,12
5.2,27,518,Immersion Amber Ale (2011),American Amber / Red Ale,190,12
5.2,27,971,Phat Chance,American Blonde Ale,361,12
5.3,27,2614,Yoshi's Nectar,California Common / Steam Beer,21,16
5.6,27,597,This Season's Blonde,American Blonde Ale,523,12
5.7,27,2556,Nordic Blonde,American Blonde Ale,53,12
5.8,27,1668,Overcast Espresso Stout,American Stout,150,12
4.5,28,494,Perfect Tin Amber,American Amber / Red Ale,152,12
4.7,28,1834,One Nut Brown,American Brown Ale,297,12
4.8,28,195,Lancaster German Style Kölsch,Kölsch,545,12
4.9,28,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12
4.9,28,623,TailGate Hefeweizen,Hefeweizen,449,24
4.9,28,361,TailGate Hefeweizen,Hefeweizen,449,12
5,28,1870,Contact High,American Pale Wheat Ale,60,12
5,28,1964,Stargrazer,Schwarzbier,258,12
5,28,2427,Suncaster Summer Wheat,American Pale Wheat Ale,105,12
5.3,28,553,People's Pale Ale,American Pale Ale (APA),527,12
5.5,28,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12
5.5,28,665,Toasted Lager,Vienna Lager,489,12
5.5,28,1799,Are Wheat There Yet?,American Pale Wheat Ale,308,12
5.8,28,2662,Claritas,Kölsch,3,16
4,29,974,WYLD Extra Pale Ale,American Pale Ale (APA),159,12
5.7,29,1145,Cardinal Pale Ale,American Pale Ale (APA),337,12
8.7,29,2334,Clan Warrior,Scotch Ale / Wee Heavy,148,12
4.5,30,1078,Schlafly IPA,American IPA,428,12
4.6,30,1924,Long Trail Ale,American Amber / Red Ale,268,12
4.6,30,573,Long Trail Ale (1),Altbier,268,12
4.8,30,1614,Wood Splitter Pilsner,Czech Pilsener,107,16
5,30,1077,Schlafly American Brown Ale,American Brown Ale,428,12
5,30,925,Lily Flagg Milk Stout,Milk / Sweet Stout,412,12
5.2,30,2036,Getaway,German Pilsener,244,16
5.2,30,2224,Bohemian Pils,American Pilsner,143,16
5.3,30,1775,Autocrat Coffee Milk Stout,Milk / Sweet Stout,143,16
5.4,30,866,British Pale Ale (2010),English Pale Ale,481,16
5.4,30,48,British Pale Ale,English Pale Ale,481,16
5.4,30,2457,312 Urban Pale Ale,American Pale Ale (APA),88,16
5.4,30,2202,312 Urban Pale Ale,American Pale Ale (APA),88,12
5.5,30,2064,Fisherman's Brew,American Amber / Red Ale,230,12
5.5,30,2017,Pail Ale,American Pale Ale (APA),250,16
5.5,30,1858,Hodad Porter,American Porter,172,16
5.5,30,1495,Lomaland,Saison / Farmhouse Ale,209,16
5.5,30,1519,Saison 88,Saison / Farmhouse Ale,392,12
5.6,30,858,Universale Pale Ale,American Pale Ale (APA),460,12
5.7,30,32,CoCoNut Porter,American Porter,375,12
6,30,989,AARGHtoberfest!,Märzen / Oktoberfest,479,12
6,30,1168,Farm Girl Saison,Saison / Farmhouse Ale,244,16
6.3,30,1351,Grazias,Cream Ale,423,16
6.3,30,2663,Grazias,Cream Ale,3,16
6.6,30,392,Rumspringa Golden Bock,Maibock / Helles Bock,545,12
7.5,30,1853,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,51,19.2
7.5,30,683,Upslope Belgian Style Pale Ale,Belgian Pale Ale,51,12
7.7,30,1513,Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,199,12
9,30,1356,Monk from the 'Yunk,Tripel,356,12
5.1,31,1622,Jam Session,American Pale Ale (APA),359,16
5.5,31,2616,Pole Barn Stout,Oatmeal Stout,21,16
5.7,31,1759,Pisgah Pale Ale,American Pale Ale (APA),324,12
6,31,1057,South Ridge Amber Ale,American Amber / Red Ale,472,16
7.5,31,1730,Wynona's Big Brown Ale,American Brown Ale,322,12
8,31,761,P-51 Porter,American Porter,509,16
4,32,1097,Organic Baba Black Lager,Schwarzbier,159,12
5,32,1722,Iron Horse Pale Ale,American Pale Ale (APA),335,12
5.1,32,658,HUB Lager,Czech Pilsener,80,16
5.1,32,961,Mac's Scottish Style Amber Ale (2000),American Amber / Red Ale,485,12
5.2,32,1151,Hell-Diver Pale Ale,American Pale Ale (APA),309,12
5.3,32,1300,Gateway Kolsch Style Ale,Kölsch,433,12
6.5,32,315,Narragansett Bock,Bock,143,16
5.2,33,1137,Pre Flight Pilsner,American Pilsner,367,16
6.2,33,2405,Alter Ego,Saison / Farmhouse Ale,115,12
6.5,33,1932,Thai Style White IPA,American White IPA,51,12
7.2,33,1090,Double Bag,Altbier,268,16
3.7,34,1237,Pit Stop Chocolate Porter,American Porter,448,12
4,34,1088,Cutthroat Pale Ale,American Pale Ale (APA),159,12
5.2,34,1387,Sweet Action,Cream Ale,46,16
5.2,34,424,Sweet Action (2011),Cream Ale,46,16
6.9,34,1562,Grandma's Pecan,English Brown Ale,33,16
7.8,34,1848,American Red Saison,Saison / Farmhouse Ale,294,12
8.5,34,2575,Wooden Rooster,Tripel,45,16.9
4.2,35,1439,Boat Beer,American IPA,222,12
4.5,35,948,Circuit Bohemian Pilsner,Czech Pilsener,17,16
4.6,35,611,834 Happy As Ale,American Pale Ale (APA),380,12
4.7,35,2486,Baby Daddy Session IPA,American IPA,78,12
4.8,35,2070,Luchesa Lager,Keller Bier / Zwickel Bier,184,12
4.8,35,2069,Slow Ride,American Pale Ale (APA),184,12
4.9,35,629,Harbinger,Saison / Farmhouse Ale,46,16
5,35,1162,Oatmeal PSA,American Pale Ale (APA),367,16
5,35,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12
5,35,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12
5,35,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12
5,35,1046,Golden Pilsner,German Pilsener,326,12
5,35,2628,Grapefruit IPA,American IPA,13,12
5.1,35,1584,Scruffy's Smoked Alt,Smoked Beer,29,16
5.2,35,2594,Surfrider,American Pale Ale (APA),33,16
5.3,35,1594,Maylani's Coconut Stout,American Stout,367,16
5.4,35,2065,Fisherman's Pils,German Pilsener,230,12
5.5,35,533,Amber Road,American Amber / Red Ale,292,12
5.5,35,986,Morning Wood,Oatmeal Stout,444,16
5.5,35,1928,Cape Cod Red,American Amber / Red Ale,267,16
5.5,35,2126,Lakefire Rye Pale Ale,American Pale Ale (APA),213,12
5.6,35,1479,1881 California Red,American Amber / Red Ale,397,12
5.6,35,882,1881 California Red Ale,American Amber / Red Ale,397,16
5.6,35,1240,Stump Knocker Pale Ale,American Pale Ale (APA),447,12
5.8,35,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,530,16
5.8,35,2200,Survival Stout,American Stout,80,16
5.8,35,2406,Murphy's Law,American Amber / Red Ale,115,12
6,35,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12
6.2,35,979,Poop Deck Porter,American Porter,374,12
6.2,35,1736,Zombie Monkie,American Porter,45,16
6.5,35,901,Harvest Ale,Saison / Farmhouse Ale,460,12
6.5,35,2640,Peck's Porter,American Porter,7,16
7,35,1754,Parade Ground Coffee Porter,American Porter,152,12
8.3,35,11,Monk's Blood,Belgian Dark Ale,368,12
8.6,35,1291,Narragansett Bohemian Pilsner,German Pilsener,143,16
5.1,36,1182,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),29,16
5.1,36,1121,Sidekick Extra Pale Ale,American Pale Ale (APA),74,12
5.4,36,2333,Psycho Penguin Vanilla Porter,American Porter,148,12
5.7,36,2425,Brass Knuckle Pale Ale,American Pale Ale (APA),105,12
5.7,36,560,Persnickety Pale,American Pale Ale (APA),190,12
5.8,36,951,Alloy,American IPA,17,16
4,37,1846,Wachusett Light IPA,American IPA,295,12
4,37,1029,Wachusett Light IPA (2013),American IPA,295,12
5.4,37,2615,Pale,American Pale Ale (APA),21,16
5.5,37,1793,Thunder Ann,American Pale Ale (APA),312,12
5.5,37,495,Voodoo Bengal Pale Ale,American Pale Ale (APA),152,12
5.6,37,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
5.6,37,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
5.6,37,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
4.4,38,965,Field 41 Pale Ale,American Pale Ale (APA),483,12
4.8,38,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12
4.8,38,2146,#004 Session I.P.A.,American IPA,211,12
5,38,1239,Midnight Oil,Oatmeal Stout,447,12
5.1,38,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16
6,38,2689,Pumpion,Pumpkin Ale,0,16
5.8,39,1792,Iron Butt Red Ale,American Amber / Red Ale,313,12
3.8,40,2105,Even Keel,American IPA,34,12
5,40,1713,Scape Goat Pale Ale,English Pale Ale,336,12
5,40,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12
5,40,2377,Main St. Virginia Ale,Altbier,122,12
5,40,1248,Main St. Virginia Ale,Altbier,122,12
5,40,1210,Mirror Pond Pale Ale,American Pale Ale (APA),454,12
5,40,2629,Veteran’s Pale Ale (VPA),American Pale Ale (APA),13,12
5.2,40,26,Black Noddy Lager (Current),Schwarzbier,530,16
5.3,40,1921,Freeride APA,American Pale Ale (APA),270,12
5.5,40,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12
5.5,40,2079,Oktoberfest,Märzen / Oktoberfest,226,16
5.5,40,1971,Texas Pale Ale (TPA),American IPA,257,16
5.5,40,145,Silverback Pale Ale,American Pale Ale (APA),424,12
5.7,40,1580,Trolley Stop Stout,American Stout,374,12
5.7,40,1873,Block Party Robust Porter,American Porter,287,12
5.7,40,2434,Peach Pale Ale,American Pale Ale (APA),104,12
5.8,40,1832,Adam's Stout,American Stout,298,12
5.8,40,1493,Black House,American Stout,209,16
6,40,692,Blue Point White IPA,American White IPA,489,12
7.2,40,1010,Old Potentate,Old Ale,118,12
7.7,40,2250,Seventh Son of a Seventh Son,American Strong Ale,183,16
7.7,40,1767,Seventh Son Hopped Red Ale,American Amber / Red Ale,183,16
